id,template_type,tool,user_query,requires_clarification,ground_truth,Review_Status (OK/Fix/Drop),Reviewer_Notes
seed_0241_transliteration_2,transliteration,create_calendar_event,Monday 14:00 er dike meeting fix kro plz.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Monday"", ""time"": ""14:00""}}",,
seed_0188_persona_code_switch_5,persona_code_switch,order_food,"KFC theke 1ta burger order koro to, bhai.",No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""KFC"", ""item"": ""Burger"", ""quantity"": 1}}",,
seed_0275_transliteration_2,transliteration,create_calendar_event,Tuesday 10:00 tay Doctor schedule kro.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Tuesday"", ""time"": ""10:00""}}",,
seed_0270_persona_code_switch_2,persona_code_switch,create_calendar_event,Monday 18:00 te ektu Doctor schedule kore rakho to.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Doctor"", ""date"": ""Monday"", ""time"": ""18:00""}}",,
seed_0017_persona_code_switch_0,persona_code_switch,get_weather,"Bhai, Kolkata er weather kemon thakbe tomorrow?",No,"{""tool_name"": ""get_weather"", ""parameters"": {""city"": ""Kolkata"", ""date"": ""tomorrow""}}",,
seed_0214_pure_bangla_3,pure_bangla,send_email,"বসকে মিটিংয়ের ব্যাপারে ইমেইল পাঠানো প্রয়োজন, পাঠিয়ে দিন।",No,"{""tool_name"": ""send_email"", ""parameters"": {""recipient"": ""Boss"", ""subject"": ""Meeting"", ""body"": ""Regarding the Meeting""}}",,
seed_0171_transliteration_4,transliteration,order_food,Star Kabab theke ekta burger plz order dao.,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Burger"", ""quantity"": 1}}",,
seed_0087_persona_code_switch_3,persona_code_switch,book_ride,"Gulshan theke Airport jabo, ekta ride book kore daw na bhai.",No,"{""tool_name"": ""book_ride"", ""parameters"": {""pickup"": ""Gulshan"", ""destination"": ""Airport""}}",,
seed_0241_transliteration_4,transliteration,create_calendar_event,Monday 14:00 er dike meeting fix kore daw.,No,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""Meeting"", ""date"": ""Monday"", ""time"": ""14:00""}}",,
seed_0118_pure_bangla_2,pure_bangla,order_food,Star Kabab থেকে ২টা Kacchi Biryani অর্ডার করতে চাই।,No,"{""tool_name"": ""order_food"", ""parameters"": {""restaurant"": ""Star Kabab"", ""item"": ""Kacchi Biryani"", ""quantity"": 2}}",,
seed_0322_pure_bangla_2,pure_bangla,create_calendar_event,অনুগ্রহ করে একটি মিটিং নির্ধারণ করুন।,Yes,"{""tool_name"": ""create_calendar_event"", ""parameters"": {""title"": ""meeting""}}",,
